index,logodds_difference,correct,total_logprob
33,0.004206550307571888,0,0.6899244487285614
34,0.004397709388285875,0,0.6899430155754089
35,0.025616515427827835,1,0.6852369904518127
36,0.00414446834474802,0,0.6893688142299652
37,0.020646067336201668,1,0.6864349842071533
38,0.0034717312082648277,0,0.690263420343399
39,0.0006411914364434779,0,0.6927706003189087
40,0.004859475418925285,0,0.689433217048645
41,0.02030179277062416,1,0.6849885582923889
42,0.004201972857117653,0,0.6897665560245514
43,0.004906969610601664,0,0.6897666454315186
44,0.04673534631729126,1,0.6787591874599457
45,0.0027664212975651026,0,0.690485805273056
46,0.0003427915507927537,0,0.6928848624229431
47,0.004314377438277006,0,0.6896058917045593
48,0.005221414379775524,0,0.6891047954559326
49,0.0004013220896013081,0,0.6928325891494751
50,0.0004374977434054017,0,0.6928644776344299
51,0.0035474083852022886,0,0.6900727450847626
52,0.0005154741811566055,0,0.6928200721740723
53,0.004939507693052292,0,0.689798891544342
54,0.004880191292613745,0,0.6892642676830292
55,0.0036533724050968885,0,0.6898393929004669
56,0.00023503541888203472,0,0.6929045021533966
57,0.027942072600126266,1,0.6841501891613007
58,0.000742081378120929,0,0.692730188369751
59,0.0004184448625892401,0,0.6928207874298096
60,0.038516487926244736,1,0.6795855462551117
61,0.005792658776044846,0,0.6889272332191467
62,0.005195798352360725,0,0.6897697150707245
63,0.04197509214282036,1,0.6810013055801392
64,0.08925557136535645,1,0.66915363073349
65,0.05928777903318405,1,0.6761631369590759
66,0.0006513016414828598,0,0.6927174925804138
67,0.10699211061000824,1,0.6645156443119049
68,0.0005472287302836776,0,0.6927756369113922
69,0.03974573686718941,1,0.6813691854476929
70,0.004750668071210384,0,0.6899032294750214
71,0.0053375582210719585,0,0.6886244714260101
72,0.043441690504550934,1,0.6808372735977173
73,0.03032459132373333,1,0.6835199594497681
74,0.0008268057717941701,0,0.6926777064800262
75,0.00041132717160508037,0,0.6928468942642212
76,0.004107331857085228,0,0.6898194253444672
77,0.005150469020009041,0,0.6895191669464111
78,0.004341423511505127,0,0.6895760893821716
79,0.003884685691446066,0,0.6897233426570892
