index,logodds_difference,correct,total_logprob
16,0.00024221233616117388,0,0.6930274367332458
17,4.649134552892065e-06,1,0.693139523267746
18,1.1802595508925151e-05,0,0.6931317746639252
19,8.704106221557595e-06,0,0.6931388080120087
20,1.049036654876545e-05,0,0.6931367516517639
21,1.204101226903731e-05,0,0.6931368410587311
22,1.0614269740472082e-05,0,0.6931377351284027
23,5.242379302217159e-06,1,0.6931397318840027
24,0.0001315012777922675,0,0.6930401623249054
25,0.00010693864896893501,0,0.6930572688579559
26,1.1444964911788702e-05,0,0.6931362748146057
27,0.0001615493674762547,0,0.6930476129055023
28,0.00022719017579220235,0,0.6930254697799683
29,0.00023625566973350942,0,0.6930207908153534
30,0.00022062993957661092,0,0.6930178701877594
31,9.300155397795606e-06,0,0.6931384205818176
32,0.0001837888266891241,0,0.6930316090583801
33,0.00022444556816481054,0,0.6930230855941772
34,0.0002891890180762857,0,0.6930195987224579
35,1.0133672731171828e-05,0,0.6931373775005341
36,0.0003760179679375142,0,0.6929890215396881
37,9.063614015758503e-06,0,0.6931384205818176
38,0.0002336283796466887,0,0.6930200755596161
39,4.408850600157166e-06,1,0.6931399405002594
40,0.00021025314345024526,0,0.6930302083492279
41,1.1562311556190252e-05,0,0.6931369006633759
42,0.00023016570776235312,0,0.6930261254310608
43,0.00017442015814594924,0,0.6930423080921173
44,1.0247268619423267e-05,0,0.6931377649307251
45,0.0001566608843859285,0,0.6930440068244934
46,7.868723514548037e-06,1,0.6931368112564087
47,0.0002180073643103242,0,0.6930297911167145
48,0.00015153115964494646,0,0.693049818277359
49,5.007703748560743e-06,1,0.6931385397911072
50,4.651010385714471e-06,1,0.6931382715702057
51,0.00016690717893652618,0,0.6930475831031799
52,4.650083155866014e-06,1,0.6931390464305878
53,0.0005496139638125896,0,0.6929465532302856
54,0.00028770690551027656,0,0.6930090487003326
55,0.00028645002748817205,0,0.6930082440376282
56,4.411655027070083e-06,1,0.693139523267746
57,1.0368348739575595e-05,0,0.6931363642215729
58,4.292451649234863e-06,1,0.6931387186050415
59,5.483600034494884e-06,1,0.6931397318840027
60,1.1803532288467977e-05,0,0.6931374371051788
61,0.00028418880538083613,0,0.6930122077465057
62,0.00019791178056038916,0,0.6930393576622009
63,1.072972190740984e-05,0,0.6931374669075012
64,7.511082003475167e-06,0,0.6931382119655609
65,8.822371455607936e-06,0,0.693138837814331
66,3.8128132473502774e-06,1,0.6931390166282654
67,9.659662282501813e-06,0,0.6931383311748505
68,3.813740477198735e-06,1,0.693139910697937
69,9.893379683489911e-06,0,0.6931380331516266
70,0.000166793615790084,0,0.693039745092392
71,0.00020203058375045657,0,0.693032830953598
72,1.1683389857353177e-05,0,0.6931365132331848
73,1.0490365639270749e-05,0,0.6931376457214355
74,4.886613623966696e-06,1,0.6931394636631012
75,3.460799234744627e-06,1,0.6931394636631012
76,0.0001799769524950534,0,0.6930378973484039
77,0.00015809043543413281,0,0.693045973777771
78,0.00021801298134960234,0,0.693014919757843
79,0.0002005381102208048,0,0.6930281519889832
80,5.124103608977748e-06,1,0.6931383907794952
81,1.0488500265637413e-05,0,0.6931381821632385
82,0.00016214446804951876,0,0.6930358409881592
83,1.0489417945791502e-05,0,0.6931375861167908
84,4.410727342474274e-06,1,0.6931390464305878
85,0.0003327809099573642,0,0.6929844915866852
86,1.0135559023183305e-05,0,0.6931383907794952
87,0.0001453341537853703,0,0.6930349767208099
88,7.868722605053335e-06,0,0.693138599395752
89,0.00015737517969682813,0,0.6930413842201233
90,0.000172104497323744,0,0.6930338442325592
91,1.1800719221355394e-05,0,0.6931353509426117
92,5.363458512874786e-06,1,0.6931387484073639
93,0.0004950370639562607,0,0.6929604411125183
94,1.072596751328092e-05,0,0.6931377053260803
95,0.00019719559350050986,0,0.6930423974990845
96,3.695475243148394e-06,1,0.6931393444538116
97,0.00026749304379336536,0,0.6930149793624878
98,0.00018736321362666786,0,0.693024069070816
99,0.00034315671655349433,0,0.6930035948753357
100,9.896204574033618e-06,0,0.6931386291980743
101,0.0002004799316637218,0,0.6930304765701294
102,0.00016321548901032656,0,0.6930364668369293
103,0.0001473588345106691,0,0.6930413246154785
104,0.00020333999418653548,0,0.6930289566516876
105,0.0001954722247319296,0,0.6930193901062012
106,5.843107373948442e-06,1,0.6931382119655609
107,9.300155397795606e-06,0,0.6931387782096863
108,5.483600489242235e-06,1,0.6931392550468445
109,1.0847059456864372e-05,0,0.69313845038414
110,5.484549092216184e-06,1,0.693138599395752
111,4.533672836259939e-06,1,0.6931391954421997
112,6.080587354517775e-06,1,0.6931397616863251
113,4.174175501248101e-06,1,0.6931401789188385
114,9.301093086833134e-06,0,0.6931390166282654
115,1.0724093954195268e-05,0,0.6931379437446594
116,0.0002636774443089962,0,0.6930203139781952
117,9.894316463032737e-06,0,0.6931370198726654
118,0.00021741131786257029,0,0.6930243074893951
119,0.0001201764534926042,0,0.6930562257766724
120,6.4410223785671405e-06,1,0.6931383609771729
121,0.0001595237699802965,0,0.6930325627326965
122,1.1563250154722482e-05,0,0.693137913942337
123,1.0007912351284176e-05,0,0.6931378245353699
124,0.00020512810442596674,0,0.6930386126041412
125,0.0003837627882603556,0,0.6929923593997955
126,3.932005256501725e-06,1,0.6931397020816803
127,8.704106221557595e-06,0,0.6931383311748505
128,7.395628927042708e-06,1,0.6931377053260803
129,0.00018736414494924247,0,0.6930326223373413
130,0.00030857216916047037,0,0.6930051445960999
131,0.0003603969526011497,0,0.6929865777492523
132,9.180940651276615e-06,0,0.6931380331516266
133,0.00019439747848082334,0,0.6930308938026428
134,0.0002730995765887201,0,0.6930122971534729
135,0.00021717009076382965,0,0.6930287480354309
136,9.773239071364515e-06,0,0.6931379437446594
137,1.0131797353096772e-05,0,0.6931377947330475
138,0.0002152617962565273,0,0.6930151879787445
139,5.481724201672478e-06,1,0.6931384205818176
140,0.00019475883163977414,0,0.6930372416973114
141,5.245183729130076e-06,1,0.6931386590003967
142,0.00022217871446628124,0,0.6930239498615265
143,0.0002861571847461164,0,0.6930084228515625
144,1.1087342500104569e-05,0,0.6931351125240326
145,0.00013722703442908823,0,0.6930511295795441
146,4.891303888143739e-06,1,0.6931387484073639
147,0.0002237284352304414,0,0.6930295825004578
148,0.0001535614428576082,0,0.6930347681045532
149,0.0002847810974344611,0,0.6930118799209595
150,0.000134841917315498,0,0.693049281835556
